"species","latitude","longitude","source"
"Dactylorhiza sambucina",46.12522632,7.0817843199,"inat"
"Dactylorhiza sambucina",46.1252316,7.0819041001,"inat"
"Dactylorhiza sambucina",46.125232,7.0819151701,"inat"
"Dactylorhiza sambucina",46.125232,7.0819213799,"inat"
"Dactylorhiza sambucina",46.125232,7.0819220799,"inat"
"Dactylorhiza sambucina",46.125232,7.0819217301,"inat"
"Dactylorhiza sambucina",46.125232,7.0819228999,"inat"
"Dactylorhiza sambucina",46.125232,7.08192232,"inat"
"Dactylorhiza sambucina",46.125232,7.08192314,"inat"
"Dactylorhiza sambucina",46.125232,7.08192407,"inat"
"Dactylorhiza sambucina",46.125238,7.081954,"inat"
"Dactylorhiza sambucina",46.1252416,7.0819701999,"inat"
"Dactylorhiza sambucina",46.125258,7.082104,"inat"
"Dactylorhiza sambucina",46.1292579001,7.0852622,"inat"
"Dactylorhiza sambucina",46.1292130001,7.085135,"inat"
"Dactylorhiza sambucina",46.12920997,7.08512634,"inat"
"Dactylorhiza sambucina",46.1292096601,7.08512545,"inat"
"Dactylorhiza sambucina",46.12920924,7.08512425,"inat"
"Dactylorhiza sambucina",46.12920893,7.08512336,"inat"
"Dactylorhiza sambucina",46.12920861,7.08512246,"inat"
"Dactylorhiza sambucina",46.1292083,7.08512157,"inat"
"Dactylorhiza sambucina",46.12920799,7.08512067,"inat"
"Dactylorhiza sambucina",46.12920642,7.08511619,"inat"
"Dactylorhiza sambucina",46.12920684,7.08511739,"inat"
"Dactylorhiza sambucina",46.1292060999,7.0851153,"inat"
"Dactylorhiza sambucina",46.1291968,7.085093,"inat"
"Dactylorhiza sambucina",46.12916,7.085005,"inat"
"Dactylorhiza sambucina",46.1291593999,7.0850032,"inat"
"Dactylorhiza sambucina",46.1291075699,7.08487443,"inat"
"Dactylorhiza sambucina",46.1291064301,7.08485957,"inat"
"Dactylorhiza sambucina",46.12912244,7.08278006,"inat"
"Dactylorhiza sambucina",46.129123,7.082778,"inat"
"Dactylorhiza sambucina",46.1291217999,7.0827612001,"inat"
"Dactylorhiza sambucina",46.1291202,7.0827388001,"inat"
"Dactylorhiza sambucina",46.1291213299,7.0826201101,"inat"
"Dactylorhiza sambucina",46.129122,7.0825909999,"inat"
"Dactylorhiza sambucina",46.1288848999,7.0817186,"inat"
"Dactylorhiza sambucina",46.1288551299,7.08155657,"inat"
"Dactylorhiza sambucina",46.128855,7.081556,"inat"
"Dactylorhiza sambucina",46.1288538,7.0815494,"inat"
"Dactylorhiza sambucina",46.12884733,7.08148,"inat"
"Dactylorhiza sambucina",46.129077,7.079437,"inat"
"Dactylorhiza sambucina",46.12939831,7.08027972,"inat"
"Dactylorhiza sambucina",46.12939808,7.08028283,"inat"
"Dactylorhiza sambucina",46.1293965001,7.0802906,"inat"
"Dactylorhiza sambucina",46.129396,7.0802927999,"inat"
"Dactylorhiza sambucina",46.129446,7.0805829999,"inat"
"Dactylorhiza sambucina",46.12947,7.0806106,"inat"
"Dactylorhiza sambucina",46.12948656,7.08062951,"inat"
"Dactylorhiza sambucina",46.12948825,7.08063104,"inat"
"Dactylorhiza sambucina",46.1294904899,7.08063307,"inat"
"Dactylorhiza sambucina",46.12950789,7.08064884,"inat"
"Dactylorhiza sambucina",46.12950846,7.08064935,"inat"
"Dactylorhiza sambucina",46.1295107001,7.0806513901,"inat"
"Dactylorhiza sambucina",46.12951182,7.0806524,"inat"
"Dactylorhiza sambucina",46.12951463,7.08065495,"inat"
"Dactylorhiza sambucina",46.12951744,7.0806574901,"inat"
"Dactylorhiza sambucina",46.1295283299,7.08078667,"inat"
"Dactylorhiza sambucina",46.1296135999,7.0812414001,"inat"
"Dactylorhiza sambucina",46.1296674,7.0813671999,"inat"
"Dactylorhiza sambucina",46.1296693001,7.0813699,"inat"
"Dactylorhiza sambucina",46.1296730999,7.0813753,"inat"
"Dactylorhiza sambucina",46.13048575,7.08363825,"inat"
"Dactylorhiza sambucina",46.1298883901,7.08192552,"inat"
"Dactylorhiza sambucina",46.12992822,7.08206689,"inat"
"Dactylorhiza sambucina",46.12992689,7.0820615601,"inat"
"Dactylorhiza sambucina",46.12993,7.082074,"inat"
"Dactylorhiza sambucina",46.129934,7.08212133,"inat"
"Dactylorhiza sambucina",46.12993541,7.08215359,"inat"
"Dactylorhiza sambucina",46.12993424,7.08217076,"inat"
"Dactylorhiza sambucina",46.129931,7.082218,"inat"
"Dactylorhiza sambucina",46.1299308001,7.0822202,"inat"
"Dactylorhiza sambucina",46.1299302,7.0822268,"inat"
"Dactylorhiza sambucina",46.1299295999,7.0822333999,"inat"
"Dactylorhiza sambucina",46.12998011,7.08263556,"inat"
"Dactylorhiza sambucina",46.12998089,7.08263644,"inat"
"Dactylorhiza sambucina",46.12998244,7.0826382201,"inat"
"Dactylorhiza sambucina",46.13001852,7.0827692402,"inat"
